,CholeskyCMAES,CholeskyCMAES_Aupdate1,pycma,pycmaDiagonal,netname,layername,channum,noise_level,RND,expdir
88,8.394753333827702e-12,2.8568290872990726e-10,7.115335560395966e-08,0.00021468112083628048,alexnet,.features.ReLU11,13,0.0,71533,alexnet_.features.ReLU11_013
89,8.100753098272256e-12,2.681414484082559e-10,7.13445365725403e-08,0.00020207265001409225,alexnet,.features.ReLU11,14,0.0,31289,alexnet_.features.ReLU11_014
90,8.253858742783105e-12,2.9808376979423873e-10,7.137002307723707e-08,0.00016605693547027938,alexnet,.features.ReLU11,15,0.0,14901,alexnet_.features.ReLU11_015
91,8.257711950846033e-12,2.865066761523814e-10,7.1381592593851e-08,0.0001511805535758348,alexnet,.features.ReLU11,16,0.0,95772,alexnet_.features.ReLU11_016
92,8.113026516812737e-12,2.925208427601414e-10,7.140917332793561e-08,0.00016114425552506972,alexnet,.features.ReLU11,17,0.0,46859,alexnet_.features.ReLU11_017
93,7.751125142906042e-12,2.8001837016289596e-10,7.151613464946242e-08,0.00015765963360808396,alexnet,.features.ReLU11,18,0.0,37484,alexnet_.features.ReLU11_018
94,7.983131449880336e-12,2.8088462017488353e-10,7.144293234611066e-08,0.00014550041065734918,alexnet,.features.ReLU11,19,0.0,11867,alexnet_.features.ReLU11_019
95,7.243051627189851e-12,2.8592979821110214e-10,7.134145559502054e-08,0.00015355472015121248,alexnet,.features.ReLU11,20,0.0,55613,alexnet_.features.ReLU11_020
96,7.715142289358647e-12,2.804336797540389e-10,7.152367522779923e-08,0.0001456534598334825,alexnet,.features.ReLU11,21,0.0,86350,alexnet_.features.ReLU11_021
97,8.447674005013335e-12,3.004187238978983e-10,7.132734416904949e-08,0.0001627918922709,alexnet,.features.ReLU11,22,0.0,98521,alexnet_.features.ReLU11_022
98,8.319589296594204e-12,2.8072567845623743e-10,7.128936512674996e-08,0.0001868916708306498,alexnet,.features.ReLU11,23,0.0,41981,alexnet_.features.ReLU11_023
99,7.861155416118616e-12,2.900331700896158e-10,7.136723718268364e-08,0.00016969579643808506,alexnet,.features.ReLU11,24,0.0,75456,alexnet_.features.ReLU11_024
100,8.151176579414025e-12,2.890690098231792e-10,7.135725023428996e-08,0.00018440504121773388,alexnet,.features.ReLU4,0,0.0,78028,alexnet_.features.ReLU4_000
101,8.161124360393979e-12,2.788931875822946e-10,7.141672583571465e-08,0.00018135873436049256,alexnet,.features.ReLU4,1,0.0,6856,alexnet_.features.ReLU4_001
102,7.713608316962796e-12,2.9250756437947e-10,7.144953059281874e-08,0.00013049748752876238,alexnet,.features.ReLU4,2,0.0,19183,alexnet_.features.ReLU4_002
103,7.802603958493312e-12,2.7237893407383545e-10,7.14342537664381e-08,0.0001714264769244009,alexnet,.features.ReLU4,3,0.0,92619,alexnet_.features.ReLU4_003
104,8.316459786943525e-12,2.9141408911711865e-10,7.130121263224907e-08,0.00016098345934306696,alexnet,.features.ReLU4,4,0.0,55597,alexnet_.features.ReLU4_004
105,7.63576139278357e-12,3.0314956935422256e-10,7.135344204909249e-08,0.00014224000170022722,alexnet,.features.ReLU4,5,0.0,78735,alexnet_.features.ReLU4_005
106,8.075433538202954e-12,3.0019707292375154e-10,7.145355084712499e-08,0.00017798790241972695,alexnet,.features.ReLU4,6,0.0,84110,alexnet_.features.ReLU4_006
107,8.339942797595903e-12,3.0189147787170823e-10,7.14223289224478e-08,0.00016297693288171877,alexnet,.features.ReLU4,7,0.0,20975,alexnet_.features.ReLU4_007
108,7.57841627196265e-12,2.847505895450443e-10,7.151217732369467e-08,0.0001380904392535136,alexnet,.features.ReLU4,8,0.0,58227,alexnet_.features.ReLU4_008
109,7.968948679164558e-12,2.8680826470572826e-10,7.151054186853937e-08,0.0001311621113773852,alexnet,.features.ReLU4,9,0.0,48717,alexnet_.features.ReLU4_009
110,7.613963799576232e-12,3.102251742433531e-10,7.1260375231783e-08,0.00014656499798233324,alexnet,.features.ReLU4,10,0.0,33682,alexnet_.features.ReLU4_010
111,7.597193971571572e-12,2.968600224224522e-10,7.128121423389381e-08,0.0001352499041900927,alexnet,.features.ReLU4,11,0.0,62168,alexnet_.features.ReLU4_011
112,7.860355444011777e-12,3.1008234057859543e-10,7.161117885076876e-08,0.0001426842167120643,alexnet,.features.ReLU4,12,0.0,89949,alexnet_.features.ReLU4_012
113,7.974848827608803e-12,2.844444938120581e-10,7.128925588906404e-08,0.00017805603489134963,alexnet,.features.ReLU4,13,0.0,72306,alexnet_.features.ReLU4_013
114,8.311098227108545e-12,2.791049363457477e-10,7.135407146157465e-08,0.00019368241733598945,alexnet,.features.ReLU4,14,0.0,29023,alexnet_.features.ReLU4_014
115,8.090846429022921e-12,2.873115325135976e-10,7.122006833788611e-08,0.0001648598645010641,alexnet,.features.ReLU4,15,0.0,8017,alexnet_.features.ReLU4_015
116,7.671379704488693e-12,3.2404129625087067e-10,7.13443267496038e-08,0.00018651872647833576,alexnet,.features.ReLU4,16,0.0,94932,alexnet_.features.ReLU4_016
117,8.246511954620545e-12,3.0074132001555624e-10,7.150903309911994e-08,0.00012910837473175543,alexnet,.features.ReLU4,17,0.0,75443,alexnet_.features.ReLU4_017
118,8.20016176636855e-12,2.835687567377129e-10,7.137257025012127e-08,0.00017198905396167502,alexnet,.features.ReLU4,18,0.0,96485,alexnet_.features.ReLU4_018
119,7.508479909792393e-12,2.7795006585914446e-10,7.131311257426828e-08,0.00018007391786722962,alexnet,.features.ReLU4,19,0.0,27636,alexnet_.features.ReLU4_019
120,8.30392358420025e-12,3.039927560172975e-10,7.13757397516655e-08,0.00019754393283647707,alexnet,.features.ReLU4,20,0.0,43914,alexnet_.features.ReLU4_020
121,8.010952022003627e-12,2.9450339135504506e-10,7.150213300166407e-08,0.00012831057815519334,alexnet,.features.ReLU4,21,0.0,49453,alexnet_.features.ReLU4_021
122,8.583905688117415e-12,2.943175873472303e-10,7.140188265826796e-08,0.00013279036678938503,alexnet,.features.ReLU4,22,0.0,5668,alexnet_.features.ReLU4_022
123,7.924853789247444e-12,2.925089566221986e-10,7.129591269770828e-08,0.00019909735150004703,alexnet,.features.ReLU4,23,0.0,61951,alexnet_.features.ReLU4_023
124,8.057629121100895e-12,2.8267222690543634e-10,7.145389279875251e-08,0.00014896214242978396,alexnet,.features.ReLU4,24,0.0,46621,alexnet_.features.ReLU4_024
125,8.032924186492299e-12,3.075431076136174e-10,7.146978548093541e-08,0.00017533179290816757,alexnet,.features.ReLU7,0,0.0,91275,alexnet_.features.ReLU7_000
126,7.87213335303528e-12,2.8635717627120854e-10,7.125637941288209e-08,0.0001489444966758166,alexnet,.features.ReLU7,1,0.0,26493,alexnet_.features.ReLU7_001
127,8.433662480770456e-12,2.8634096064343206e-10,7.140352496255357e-08,0.00013070272676930797,alexnet,.features.ReLU7,2,0.0,92039,alexnet_.features.ReLU7_002
128,7.985378033836276e-12,2.707576909758712e-10,7.140440287807743e-08,0.000151282460943198,alexnet,.features.ReLU7,3,0.0,98120,alexnet_.features.ReLU7_003
129,7.925860803136335e-12,2.908960936318114e-10,7.14248371950851e-08,0.00013602144410178337,alexnet,.features.ReLU7,4,0.0,20917,alexnet_.features.ReLU7_004
130,7.760373105727536e-12,2.927668554700113e-10,7.140001556478397e-08,0.00013569311893226992,alexnet,.features.ReLU7,5,0.0,99980,alexnet_.features.ReLU7_005
131,8.030187071640192e-12,2.9303424507401654e-10,7.121772596059682e-08,0.00016556968857233922,alexnet,.features.ReLU7,6,0.0,52722,alexnet_.features.ReLU7_006
